Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis(consent/legitimate_interest/contract),Existing_Relationship_Exemption(plain_text),Known_Exceptions(notes),CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified,Primary_Sources,Notes_for_Product,Source_Language,Source_Last_Updated,Confidence
United States,US,Telemarketing to consumers regulated,opt-out via National DNC,Telemarketing to businesses less regulated,opt-out (varies by state),National Do Not Call Registry,https://www.donotcall.gov,Yes(API/Bulk),Yes,08:00–21:00 local,Depends (no explicit AI law yet),consent or legitimate_interest,"ER exempt but must honor opt-out",State-level rules may apply,Caller ID must be truthful per FCC rules,Ongoing FCC AI robocall rulemaking 2024,2025-08-18,"FCC https://www.fcc.gov; FTC https://www.ftc.gov; National DNC",AI robocalls under scrutiny – treat as disclosure required conservatively,EN,2024-07-01,High
Canada,CA,Telemarketing to consumers regulated,opt-out via DNCL,B2B exempt unless consumer contacts involved,No specific B2B telemarketing regulation found,National DNCL,https://lnnte-dncl.gc.ca,Yes(API/Bulk),Yes,"09:00–21:30 (Mon-Fri); 10:00–18:00 (Sat)",Depends (no explicit AI disclosure yet),consent,"ER exemption only if not opted out","Charities, political exempt",Caller ID must be displayed,CRTC updates on AI robocalls consultation 2024,2025-08-18,"CRTC https://crtc.gc.ca; National DNCL",Conservative rule: treat B2B as subject to B2C restrictions,EN/FR,2024-06-15,High
Mexico,MX,Telemarketing to consumers regulated,opt-out (REUS registry),No specific B2B telemarketing regulation found,none,REUS (Registro Público de Usuarios),https://reus.profeco.gob.mx,No,Yes,08:00–21:00 local,Depends,consent,"ER does not bypass REUS","Financial services stricter",Caller ID truthful per IFT rules,None noted,2025-08-18,"PROFECO https://www.gob.mx/profeco; IFT https://www.ift.org.mx",Apply consumer quiet hours to B2B conservatively,ES,2024-03-30,Medium
Guatemala,GT,Consumer telemarketing loosely regulated,opt-out not centralized,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,No explicit ER rule,"Weak enforcement",None,None,2025-08-18,"SIT Guatemala (telecom regulator)",No official DNCL – apply conservative opt-in,ES,2023-12-01,Low
El Salvador,SV,Consumer data protected under law,opt-in generally,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,No ER rule,"General consumer law only",None,None,2025-08-18,"SIGET https://www.siget.gob.sv",No DNCL – apply opt-in conservatively,ES,2023-11-15,Low
Honduras,HN,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,No ER rule,None,None,None,2025-08-18,"CONATEL Honduras",Weak enforcement – treat as opt-in,ES,2023-10-01,Low
Nicaragua,NI,Consumer protection applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"TELCOR Nicaragua",Conservative product note: opt-in,ES,2023-09-01,Low
Costa Rica,CR,Telemarketing regulated under Law 8968 (Data Protection),opt-in,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,ER not exempt,None,None,None,2025-08-18,"PRODHAB https://prodhab.go.cr",Apply opt-in to all,ES,2024-02-15,Medium
Panama,PA,Consumer protection law regulates calls,opt-in,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ASEP https://www.asep.gob.pa",No DNCL – opt-in required,ES,2023-12-15,Low
Belize,BZ,Consumer laws apply loosely,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"PUC Belize",Apply opt-in conservatively,EN,2023-08-01,Low
Dominican Republic,DO,Telemarketing regulated,opt-out via DNCL,B2B not regulated,No specific B2B telemarketing regulation found,DNCL (Registro de No Molestar),https://proconsumidor.gob.do,Unknown,Yes,08:00–20:00,Depends,consent,ER not exempt,None,None,None,2025-08-18,"ProConsumidor",DNCL exists but enforcement weak,ES,2024-04-01,Medium
Haiti,HT,No explicit DNCL,opt-in general,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"CONATEL Haiti",No DNCL – apply opt-in conservatively,FR,2023-06-01,Low
Jamaica,JM,Consumer laws apply,opt-out (Do Not Call under FTC),No specific B2B telemarketing regulation found,Jamaica Do Not Call Register,https://www.jftc.gov.jm,Unknown,Yes,Not specified,Depends,consent,ER exemption unclear,None,None,None,2025-08-18,"Jamaica FTC",DNCL exists but weak,EN,2024-01-15,Medium
Trinidad and Tobago,TT,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"TATT https://tatt.org.tt",No DNCL – apply opt-in conservatively,EN,2023-11-01,Low
Barbados,BB,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"FTC Barbados",No DNCL – apply opt-in conservatively,EN,2023-10-01,Low
Bahamas,BH,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"URCA Bahamas",No DNCL – apply opt-in conservatively,EN,2023-07-01,Low
Antigua and Barbuda,AG,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL (covers AG, DM, GD, KN, LC, VC)",Apply conservative opt-in,EN,2023-05-01,Low
Grenada,GD,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
St. Lucia,LC,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
St. Kitts and Nevis,KN,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
St. Vincent and Grenadines,VC,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low
Dominica,DM,Consumer law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ECTEL",Apply conservative opt-in,EN,2023-05-01,Low

Argentina,AR,Consumer telemarketing regulated via national DNC,opt-out via DNC,No specific B2B telemarketing regulation found.,Not specified,Registro Nacional "No Llame",https://nollame.aaip.gob.ar,Unknown,Yes,Not specified,Depends/Not specified,consent,"Contacts to numbers on DNC only with explicit post-registration consent by the subscriber; otherwise prohibited.","Law and AAIP guidance focus on subscribers (holders/authorized users).","No specific caller ID prefixes mandated nationally.","2024 AAIP resolution updates sanctioning/procedures for DNC and DP infractions.",2025-08-18,"Ley 26.951 (Boletín Oficial) https://www.boletinoficial.gob.ar/detalleAviso/primera/308122/20240524 | AAIP No Llame https://nollame.aaip.gob.ar | Texto Ley 26.951 (Infoleg/SAIJ) https://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/225930/norma.htm","Treat mixed datasets as consumer by default; check DNC before any B2C/B2B-to-individual calls; announce recording."
Bolivia,BO,No specific consumer telemarketing regime found.,Not specified,No specific B2B telemarketing regulation found.,Not specified,N/A,N/A,N/A,N/A,Not specified,Depends/Not specified,consent,"No statutory DNC; general telecom law protects secrecy of communications.",—,"No national caller ID/telemarketing prefixes identified.","No recent official changes located.",2025-08-18,"Ley 164 (Telecom) https://www.minedu.gob.bo/files/documentos-normativos/leyes/ley_164___ley_general_de_telecomunicaciones_tecnologias_de_informacin_y_comunicacion.pdf | ATT denuncia plataforma https://plataformas.att.gob.bo/index.php/denuncias/inicioDenunciaUsuario","Conservative: apply consumer-style quiet hours and disclosures; avoid automated burst campaigns; obtain explicit consent for recordings."
Brazil,BR,Consumer telemarketing partially regulated (sector DNC; anti-spoofing/authenticated calls),opt-out (sectoral via Não Me Perturbe),No specific B2B telemarketing regulation found.,Not specified,"Não Me Perturbe (telecom & consignado)",https://www.naomeperturbe.com.br,Unknown,Yes,Not specified,Depends/Not specified,consent or legitimate_interest,"DNC may be bypassed only with explicit, provable consent.","State-level DNC lists may also apply (e.g., PROCON).","0303 prefix requirement revoked (Aug 2025); Anatel implementing STIR/SHAKEN authenticated/identified calling (Origem Verificada).","2025: Anatel revokes 0303 obligation; deadlines for authentication tightened for large originators.",2025-08-18,"Agência Brasil (revocation) https://agenciabrasil.ebc.com.br/geral/noticia/2025-08/anatel-revoga-obrigatoriedade-do-uso-do-prefixo-0303-em-ligacoes | Anatel: Autenticação e Identificação de Chamadas https://www.gov.br/anatel/pt-br/regulado/acompanhamento-e-controle/autenticacao-e-identificacao-de-chamadas | Anatel: Não Me Perturbe https://www.gov.br/anatel/pt-br/consumidor/telemarketing/nao-me-perturbe","Enforce CLI authentication (STIR/SHAKEN) where available; don’t rely on 0303; consult NMP for participating sectors; record with announcement + opt-out."
Chile,CL,Consumer telemarketing identified via mandatory prefixes; per-company opt-out via SERNAC,Opt-out (per-company preferences),No specific B2B telemarketing regulation found.,Not specified,"SERNAC 'No Molestar' (preferences, not national DNC)",https://www.sernac.cl/portal/619/w3-article-6106.html,Unknown,Depends,Not specified,Depends/Not specified,consent,"Respect per-company opt-out preferences if collected.",—,"Mandatory prefixes: 600 (solicited/expected), 809 (unsolicited/spam) effective 2025-08-13.","2025: SUBTEL enforces 600/809 numbering to identify commercial/mass calls.",2025-08-18,"SUBTEL release (12 Aug 2025) https://www.subtel.gob.cl/desde-este-miercoles-las-llamadas-comerciales-y-masivas-deberan-llevar-los-prefijos-600-y-809-para-su-identificacion/ | SUBTEL 'Prefijos Únicos' explainer https://www.subtel.gob.cl/prefijos-unicos/ | Gobierno de Chile notice https://www.gob.cl/noticias/parte-hoy-conoce-prefijos-identificar-llamadas-no-deseadas/","Product must present banner explaining 600/809 logic; tag unsolicited campaigns as 809; keep disclosure/recording prompts."
Colombia,CO,Consumer telemarketing regulated; hours fixed by Ley 2300/2023,opt-out via RNE + time-window limits,Mixed/Unclear for B2B (treat contacts to individuals as B2C),Depends,Registro de Números Excluidos (RNE),https://www.crcom.gov.co/es/gestion/rne,Unknown,Yes,"Mon–Fri 07:00–19:00; Sat 08:00–15:00; no Sundays/holidays",Depends/Not specified,consent,"Existing relationship allows service/contract notifications, but marketing must respect RNE & time windows.","Financial collections also restricted by Ley 2300 within the same hours.","Caller ID prefix not mandated; CRC advancing anti-spam controls.","2024–2025: CRC expands RNE scope & procedures; Ley 2300 in force.",2025-08-18,"Ley 2300/2023 (Función Pública) https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=219399 | CRC – Registro de Números Excluidos https://www.crcom.gov.co/es/gestion/rne | RNE Términos https://tramitescrcom.gov.co/tramites/publico/rne/terminosRNE.xhtml","Always schedule within legal window; check RNE before every campaign (incl. ER). Play recording/monitoring notice."
Ecuador,EC,Consumer telemarketing restricted: identification & prior express consent required for commercial/publicity/proselitist calls,opt-in (consent required),No specific B2B telemarketing regulation found.,Not specified,N/A,N/A,N/A,N/A,Not specified,Depends/Not specified,consent,"Consent-driven calling; ER not a blanket exemption if consent missing.",—,"ARCOTEL mandates identifiable numbers for such calls.","2020–2025: ARCOTEL policy + DP Regulation in force.",2025-08-18,"ARCOTEL release (Min. Telecom) https://www.telecomunicaciones.gob.ec/nueva-normativa-exige-la-identificacion-de-llamadas-comerciales-publicitarias-o-proselitistas/ | LOPDP (Ley Orgánica DP) https://www.finanzaspopulares.gob.ec/wp-content/uploads/2021/07/ley_organica_de_proteccion_de_datos_personales.pdf | Reglamento LOPDP (2023) https://www.cosede.gob.ec/wp-content/uploads/2023/12/REGLAMENTO-GENERAL-A-LA-LEY-ORG%C3%81NICA-DE-PROTECCION-DE-DATOS-PERSONALES_compressed-1.pdf","Gate outbound to contacts with stored consent; include AI/recording disclosure per global setting."
Guyana,GY,No specific consumer telemarketing regime found.,Not specified,No specific B2B telemarketing regulation found.,Not specified,N/A,N/A,N/A,N/A,Not specified,Depends/Not specified,consent,—,—,"No specific national caller ID/telemarketing prefixes identified.","No recent official changes located.",2025-08-18,"NTA Guyana https://www.nta.gy/ | CCAC (Consumer Commission) https://ccac.gov.gy/","Conservative: apply consumer-style time windows and opt-out handling; avoid robocalls without explicit consent."
Paraguay,PY,Consumer telemarketing regulated via “No Molestar” (mobile),opt-out via DNC (mobile),No specific B2B telemarketing regulation found.,Not specified,Registro 'No Molestar' (SEDECO, móviles),https://nomolestar.sedeco.gov.py,Unknown,Depends,"ER only: Mon–Fri 08:00–18:00 (no other hours)",Depends/Not specified,consent,"If existing customer, contact allowed only Mon–Fri 08:00–18:00; otherwise respect registry.","Covers calls/SMS/WhatsApp; excludes emergencies/legal obligations.","No national prefix mandates.","Registry fully in force and expanding.",2025-08-18,"SEDECO – No Molestar https://nomolestar.sedeco.gov.py | SEDECO sitio https://www.paraguay.gov.py/instituciones/sedeco","Always check registry; restrict ER scheduling to 08–18 weekdays; show opt-out."
Peru,PE,Consumer telemarketing prohibited without prior consent (Ley 32323/2025),opt-in (consent required),No specific B2B telemarketing regulation found.,Not specified,N/A,N/A,N/A,N/A,Not specified,Depends/Not specified,consent,"Existing customer contact for service may be allowed by DP/consumer rules, but marketing requires prior express consent.",—,"No national telemarketing prefix mandate.","2025: Ley 32323 enters into force (anti-spam calls/emails).",2025-08-18,"El Peruano (oficial) – Ley 32323 https://elperuano.pe/noticia/242631/ley-32323-que-prohibe-llamadas-y-mensajes-publicitarios-no-autorizados | INDECOPI (comunicados) https://www.gob.pe/indecopi","Treat all outbound marketing as consent-only; log consent proof; include clear opt-out on SMS/email."
Suriname,SR,No specific consumer telemarketing regime found.,Not specified,No specific B2B telemarketing regulation found.,Not specified,N/A,N/A,N/A,N/A,Not specified,Depends/Not specified,consent,—,—,"No national prefix mandates identified.","No recent official changes located.",2025-08-18,"Telecommunications Authority Suriname (TAS) https://www.tas.sr/ | Ministry of Economic Affairs & Entrepreneurship https://gov.sr/","Conservative: limit call intensity, provide opt-out, obtain consent for recordings."
Uruguay,UY,Consumer telemarketing regulated via national DNC,opt-out via DNC,No specific B2B telemarketing regulation found.,Not specified,Registro Nacional “No Llame”,https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/institucional/preguntas-frecuentes/registro-nacional-llame,Unknown,Yes,"Mon–Fri 09:00–21:00; Sat 09:00–19:00",Depends/Not specified,consent,"ER allowed if explicit consent documented or arising from the contract; still consult DNC and respect hours.","Applies to calls, SMS, messaging apps.",“No Llame” national; no special prefixes mandated.,"2022–2023: Decree 132/022; updates via Decree 353/023 (tramites digitali).",2025-08-18,"URSEC FAQ (horarios) https://www.gub.uy/unidad-reguladora-servicios-comunicaciones/institucional/preguntas-frecuentes/registro-nacional-llame | IMPO Decreto 132/022 https://www.impo.com.uy/bases/decretos/132-2022/6 | Trámite URSEC https://www.gub.uy/tramites/consulta-registro-nacional-no-llame","Always check DNC and schedule within legal window; store ER consent evidence 4+ years."
Venezuela,VE,No specific consumer telemarketing/DNC regime found.,Not specified,No specific B2B telemarketing regulation found.,Not specified,N/A,N/A,N/A,N/A,Not specified,Depends/Not specified,consent,"General privacy of communications; marketing rules dispersed; weak official guidance.",—,"No national telemarketing prefixes identified.","No recent official changes located.",2025-08-18,"CONATEL https://www.conatel.gob.ve/ | Ley de Telecomunicaciones (1996) https://www.conatel.gob.ve/marco-legal/ | Ministerio del Poder Popular para Comercio Nacional (consumidor) https://mincomercionacional.gob.ve/","Conservative: treat as consent/opt-out regime; avoid robocalls; announce recording; keep low cadence."

