Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis(consent/legitimate_interest/contract),Existing_Relationship_Exemption(plain_text),Known_Exceptions(notes),CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified,Primary_Sources(max3;official),Source_Language,Source_Last_Updated,Confidence,Notes_for_Product
United Arab Emirates,AE,Telemarketing specifically regulated (Cabinet Resolution No. 56/2024),opt-out via DNCR + explicit confirmation at start,No specific B2B telemarketing regulation found.,depends,DNCR (Do Not Call Registry),"https://uaelegislation.gov.ae/en/legislations/2519, https://www.wam.ae/en/article/13yhgc9-ministry-economy-tdra-announce-new-resolutions, https://www.moet.gov.ae/en/-/ministry-of-economy-and-telecommunications-and-digital-government-regulatory-authority-review-regulatory-legislations-in-organizing-operational-mechanisms-for-telemarketing-companies-in-the-uae-and-enhancing-consumer-protection-in-line-with-best-practices",Unknown,Yes,"09:00–18:00",Depends (not AI-specific; must identify caller and ask to proceed),consent (recommended) ,"DNCR blocks apply irrespective of relationship; caller must ask if the consumer wishes to continue before promoting.",Natural persons may not call from personal numbers; frequency caps apply.,Display company identity; no personal numbers; no spoofing.,New telemarketing regime in force 2024-08-27 (call window, frequency limits, DNCR).,2025-08-18,"https://uaelegislation.gov.ae/en/legislations/2519; https://www.wam.ae/en/article/13yhgc9-ministry-economy-tdra-announce-new-resolutions; https://www.moet.gov.ae/en/-/ministry-of-economy-and-telecommunications-and-digital-government-regulatory-authority-review-regulatory-legislations-in-organizing-operational-mechanisms-for-telemarketing-companies-in-the-uae-and-enhancing-consumer-protection-in-line-with-best-practices",EN/AR,2024-06-28,Low,"Enforce 09:00–18:00; block DNCR; ask continuation before pitch; show CallerID with company name; treat B2B numbers conservatively if they may belong to individuals."
Saudi Arabia,SA,Unsolicited calls/messages regulated by CST Anti-Spam framework,depends (consent required for automated; opt-out rules for others),No specific B2B telemarketing regulation found.,depends,None (framework-based),,N/A,Depends,Not specified,Depends (no AI-specific rule; identify advertiser),consent (recommended),"No clear ER exemption published; comply with Anti-Spam obligations in all cases.",—,"CLI must be truthful; anti-spoofing enforced.","CST Anti-Spam Regulations updated and consolidated (calls & messages) – ongoing enforcement.",2025-08-18,"https://www.cst.gov.sa/en/rulesandregulations/ictrulesandlicenses/pages/default.aspx; https://www.cst.gov.sa/en/mediacenter/pressreleases/pages/2022011401.aspx",AR,2022-01-14,Low,"Do not use auto-dialed/recorded voice without prior consent; maintain clear opt-out; display valid CallerID."
Qatar,QA,Unsolicited electronic communications regulated (CRA),opt-in for unsolicited marketing,No specific B2B telemarketing regulation found.,depends,None (no central DNC),,N/A,Depends,Not specified,Depends (no AI-specific rule),consent (recommended),"Existing relationship does not remove duties (identification/consent/opt-out).",—,True CLI; no spoofing.,CRA Anti-Spam/Unsolicited Communications regulation remains in force.,2025-08-18,"https://www.cra.gov.qa/-/media/System/3/4/7/0/347002bd6e1d61644d8a2a9b5832d8c7/Anti-Spam-Regulation-English.pdf; https://www.cra.gov.qa/en/about-us/regulatory-framework",EN/AR,2016-12-01,Low,"Treat all outbound as consent-based unless documented opt-in; provide opt-out; avoid automated voice without opt-in."
Kuwait,KW,Consumer rights restrict unsolicited electronic messages (SMS/email); calls not specifically regulated,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"No explicit ER exemption; comply with consumer rights.",—,Display truthful CLI.,No telemarketing-specific updates located.,2025-08-18,"https://www.citra.gov.kw/sites/en/Pages/Consumers/YourRights.aspx",AR,2023-01-01,Low,"Avoid robocalls; treat live telemarketing as opt-out with clear stop mechanism; keep recordings off unless consent captured."
Bahrain,BH,TRA spam rules focus on unsolicited electronic messages; limited specifics on live calls,depends,No specific B2B telemarketing regulation found.,depends,None (no public DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER does not waive identification/opt-out duties.",—,True CLI; anti-spoofing enforced via licensees.,No formal DNC; TRA consumer guidance ongoing.,2025-08-18,"https://www.tra.org.bh/en/consumer-affairs; https://www.tra.org.bh/en/regulations",AR/EN,2022-01-01,Low,"Prefer consent; provide opt-out; avoid automated voice without prior consent; display caller identity."
Oman,OM,Consumer protection & TRA complaint regime; no explicit telemarketing code,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER does not remove duties.",—,True CLI; no spoofing.,No specific 2024+ telemarketing updates located.,2025-08-18,"https://www.tra.gov.om/ConsumerComplaiSteps.jsp; https://www.tra.gov.om",AR,2024-01-01,Low,"Use consent where feasible; provide opt-out; avoid robocalls."
Jordan,JO,TRC guidance on nuisance calls/SMS; no telemarketing-specific law,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"No ER carve-out; follow general consumer norms.",—,Display valid CLI.,No telemarketing-specific updates found.,2025-08-18,"https://trc.gov.jo/Pages/viewpage?pageID=157; https://www.trc.gov.jo",AR,2023-12-31,Low,"Treat as opt-out with immediate stop; avoid automated voice; keep records."
Lebanon,LB,General consumer/data-protection principles; no specific telemarketing statute,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified for telemarketing.",—,Display valid CLI.,No official 2024+ telemarketing updates found.,2025-08-18,"https://www.economy.gov.lb/en/consumer-protection; https://www.justice.gov.lb",AR,2020-01-01,Low,"Apply conservative approach: consent where possible; clear opt-out; avoid robocalls."
Egypt,EG,NTRA regulates promotional/commercial calls (registration & caller identification),opt-out (no DNC; registration + alert/identity required),No specific B2B telemarketing regulation found.,depends,None (registry of calling numbers, not DNC),,N/A,Depends,Not specified,Depends (not AI-specific; must identify caller/‘NTRA Alert’),consent (recommended),"ER does not bypass registration/identification rules.",—,"Must display entity name or NTRA Alert; enforcement ongoing.",NTRA regulations announced 2024-07-21; enforcement actions 2024-10 and 2025.,2025-08-18,"https://www.tra.gov.eg/en/ntra-acknowledges-regulations-for-promotional-and-commercial-calls/; https://www.tra.gov.eg/en/ntra-starts-taking-legal-measures-against-mountain-view-for-conducting-telemarketing-calls-in-violation-to-law-and-relevant-regulations-issued/",EN,2024-07-21,Low,"Only use registered lines; ensure name display or NTRA Alert; avoid spoofing; capture consent if recording."
Morocco,MA,General consumer (Law 31-08) & telecom law; no specific telemarketing/DNC,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified for telemarketing.",—,Display valid CLI.,No 2024+ telemarketing updates noted.,2025-08-18,"https://www.mcinet.gov.ma/fr/content/protection-du-consommateur; https://www.anrt.ma/en/reglementation/lois/telecommunications",FR,2019-01-25,Low,"Apply conservative approach: consent where feasible; honor opt-out; avoid automated voice without consent."
Algeria,DZ,General consumer & e-commerce framework; no telemarketing/DNC,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",Call-center activity subject to ARPCE licensing terms.,True CLI; anti-spoofing by operators.,No 2024+ telemarketing updates noted.,2025-08-18,"https://www.arpce.dz/en; https://www.joradp.dz/FTP/jo-francais/2009/F2009015.pdf",FR,2009-03-08,Low,"Use consent where possible; respect call-center licensing; avoid robocalls."
Tunisia,TN,Data-protection law bans processing for advertising without express consent,opt-in (for personal data use),No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends (not AI-specific),consent (required when personal data used for marketing),"ER does not waive consent requirement for personal data use.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://www.ins.tn/sites/default/files/2020-04/Loi%2063-2004%20Fr.pdf; https://legislation-securite.tn/latest-laws/loi-organique-n-2004-63-du-27-juillet-2004-portant-sur-la-protection-des-donnees-a-caractere-personnel/",FR,2004-07-27,Low,"Treat consumer calls as opt-in; hold proof of consent; offer easy opt-out."
Iraq,IQ,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No official 2024+ telemarketing rules identified.,2025-08-18,"https://cmc.iq; https://www.iraq.gov.iq",AR,2024-01-01,Low,"Apply conservative defaults (no robocalls; provide opt-out; respect CLI)."
Iran,IR,CRA enforcement against promotional voice/SMS from personal numbers; no public DNC,depends (restrictions on promotional voice calls),No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends (not AI-specific),consent (recommended),"ER not codified.",Ban on advertising calls via personal numbers; complaints via 195 portal.,Ongoing 2024–2025 actions to curb advertising calls.,2025-08-18,"https://195.cra.ir; https://donya-e-eqtesad.com/بخش-بازار-دیجیتال-19/4120892",FA,2024-11-09,Low,"Use registered business lines only; avoid automated/promotional voice without explicit consent; provide opt-out."
Israel,IL,Automated calls covered by Spam Law (Amendment 40); live telemarketing constrained by national DNC,auto calls opt-in; live calls opt-out via DNC,Mixed; no specific B2B telemarketing statute; Spam Law still applies to automated systems.,depends,“Do Not Call Me” Registry (מאגר אל תתקשרו אליי),"https://www.gov.il/he/departments/general/spam_law; https://www.gov.il/he/departments/general/do_not_call_me",No,Yes,Not specified,Depends (required for automated systems; identify advertiser at start),consent (for recording; recommended),ER does not bypass DNC entries.,Certain nonprofit/political calls may be treated differently under law.,Display valid CLI.,National DNC launched/expanded (ongoing).,2025-08-18,"https://www.gov.il/he/departments/general/spam_law; https://www.gov.il/he/departments/general/do_not_call_me",HE,2022-12-12,Low,"Block DNC hits; disallow robocalls without prior express consent; open with clear identification; capture consent if recording."
Palestine (PA/PS),PS,General consumer/telecom complaint channels; no telemarketing/DNC code,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://www.mtit.gov.ps/index.php/c_home/showNew/1897; https://mtde.gov.ps/home/Complaints?culture=ar-SA",AR,2023-12-31,Low,"Apply conservative defaults; avoid automated voice; provide opt-out."
Yemen,YE,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"http://www.moit.gov.ye; http://www.ptic.gov.ye",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Sudan,SD,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"http://www.ntc.gov.sd",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Libya,LY,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://lptic.ly; https://www.gptc.ly",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Türkiye,TR,Commercial electronic messages (incl. calls) require prior consent and IYS registration,opt-in (consumers),B2B to traders/merchants allowed without prior consent but must provide opt-out,opt-out (for “traders/craftsmen”),İYS (İleti Yönetim Sistemi – consent database),"https://ticaret.gov.tr/ic-ticaret/bilgi-sistemleri/ticari-elektronik-ileti-yonetim-sistemi-iys; https://iys.org.tr/iys/yonetmelik",Unknown,Depends (no DNC; consent must be in IYS),Not specified,Depends (no AI-specific rule; identify caller),consent (or legitimate interest for B2B with opt-out),"ER does not override withdrawal/opt-out rights.",—,Display valid CLI.,IYS regime maintained; 2020 amendments in force.,2025-08-18,"https://ticaret.gov.tr/ic-ticaret/bilgi-sistemleri/ticari-elektronik-ileti-yonetim-sistemi-iys; https://iys.org.tr/iys/yonetmelik; https://www.turkiye.gov.tr/ticari-elektronik-ileti-yonetim-sistemi",TR,2023-04-18,Low,"Enforce IYS consent for consumers; allow B2B to traders with immediate opt-out; store proof; avoid robocalls without consent."

